Date : 2021-04-17 10:27:15
Directory : /home/undefined/Documents/pkl/apikom
Total : 112 files,  47194 codes, 266 comments, 550 blanks, all 48010 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/undefined/Documents/pkl/apikom/services/authentication/.prettierrc.js                   | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/authentication/Dockerfile                       | Docker     |         12 |          0 |          4 |         16 |
| /home/undefined/Documents/pkl/apikom/services/authentication/README.md                        | Markdown   |          3 |          0 |          3 |          6 |
| /home/undefined/Documents/pkl/apikom/services/authentication/app.ts                           | TypeScript |         37 |         12 |         11 |         60 |
| /home/undefined/Documents/pkl/apikom/services/authentication/babel.config.js                  | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/authentication/controllers/auth.controller.ts   | TypeScript |        261 |          0 |         25 |        286 |
| /home/undefined/Documents/pkl/apikom/services/authentication/docker-compose.yml               | YAML       |         10 |          0 |          1 |         11 |
| /home/undefined/Documents/pkl/apikom/services/authentication/docs/swagger.yaml                | YAML       |        195 |          1 |          4 |        200 |
| /home/undefined/Documents/pkl/apikom/services/authentication/helpers/firebase/firebaseInit.ts | TypeScript |         14 |          0 |          5 |         19 |
| /home/undefined/Documents/pkl/apikom/services/authentication/helpers/logger.ts                | TypeScript |         17 |          0 |          3 |         20 |
| /home/undefined/Documents/pkl/apikom/services/authentication/index.ts                         | TypeScript |          9 |          0 |          3 |         12 |
| /home/undefined/Documents/pkl/apikom/services/authentication/interfaces/user.interface.ts     | TypeScript |          6 |          0 |          1 |          7 |
| /home/undefined/Documents/pkl/apikom/services/authentication/jest.config.js                   | JavaScript |          6 |          0 |          1 |          7 |
| /home/undefined/Documents/pkl/apikom/services/authentication/middlewares/isValid.ts           | TypeScript |         21 |          0 |          3 |         24 |
| /home/undefined/Documents/pkl/apikom/services/authentication/middlewares/userAuth.ts          | TypeScript |         21 |          1 |          3 |         25 |
| /home/undefined/Documents/pkl/apikom/services/authentication/nodemon.json                     | JSON       |          3 |          0 |          1 |          4 |
| /home/undefined/Documents/pkl/apikom/services/authentication/package-lock.json                | JSON       |     10,884 |          0 |          1 |     10,885 |
| /home/undefined/Documents/pkl/apikom/services/authentication/package.json                     | JSON       |         60 |          0 |          1 |         61 |
| /home/undefined/Documents/pkl/apikom/services/authentication/routes/auth.route.ts             | TypeScript |         24 |          0 |         12 |         36 |
| /home/undefined/Documents/pkl/apikom/services/authentication/services/auth.services.ts        | TypeScript |         40 |          0 |          9 |         49 |
| /home/undefined/Documents/pkl/apikom/services/authentication/tests/auth.controller.test.ts    | TypeScript |        436 |         10 |         21 |        467 |
| /home/undefined/Documents/pkl/apikom/services/authentication/tsconfig.json                    | JSON       |         17 |         47 |          8 |         72 |
| /home/undefined/Documents/pkl/apikom/services/authentication/validations/auth.validation.ts   | TypeScript |        106 |          0 |          6 |        112 |
| /home/undefined/Documents/pkl/apikom/services/categories/.dockerignore                        | Ignore     |          2 |          0 |          0 |          2 |
| /home/undefined/Documents/pkl/apikom/services/categories/.eslintrc.js                         | JavaScript |         23 |          2 |          1 |         26 |
| /home/undefined/Documents/pkl/apikom/services/categories/.prettierrc.js                       | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/categories/Dockerfile                           | Docker     |         13 |          0 |          4 |         17 |
| /home/undefined/Documents/pkl/apikom/services/categories/app.ts                               | TypeScript |         39 |         10 |         11 |         60 |
| /home/undefined/Documents/pkl/apikom/services/categories/babel.config.js                      | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/categories/config/config.js                     | JavaScript |         29 |          0 |          3 |         32 |
| /home/undefined/Documents/pkl/apikom/services/categories/config/sequelize.ts                  | TypeScript |         34 |          3 |          6 |         43 |
| /home/undefined/Documents/pkl/apikom/services/categories/controllers/category.controller.ts   | TypeScript |        117 |          0 |         17 |        134 |
| /home/undefined/Documents/pkl/apikom/services/categories/docker-compose.yml                   | YAML       |         24 |          0 |          1 |         25 |
| /home/undefined/Documents/pkl/apikom/services/categories/docs/category-swagger.yaml           | YAML       |        109 |          0 |          7 |        116 |
| /home/undefined/Documents/pkl/apikom/services/categories/helpers/initDB.ts                    | TypeScript |         17 |          0 |          3 |         20 |
| /home/undefined/Documents/pkl/apikom/services/categories/helpers/logger.ts                    | TypeScript |         17 |          0 |          3 |         20 |
| /home/undefined/Documents/pkl/apikom/services/categories/index.ts                             | TypeScript |          3 |          0 |          3 |          6 |
| /home/undefined/Documents/pkl/apikom/services/categories/interfaces/Category.ts               | TypeScript |          3 |          0 |          1 |          4 |
| /home/undefined/Documents/pkl/apikom/services/categories/middlewares/isValid.ts               | TypeScript |         16 |          0 |          2 |         18 |
| /home/undefined/Documents/pkl/apikom/services/categories/models/category.model.ts             | TypeScript |         26 |          1 |          4 |         31 |
| /home/undefined/Documents/pkl/apikom/services/categories/nodemon.json                         | JSON       |          3 |          0 |          1 |          4 |
| /home/undefined/Documents/pkl/apikom/services/categories/package-lock.json                    | JSON       |     10,348 |          0 |          1 |     10,349 |
| /home/undefined/Documents/pkl/apikom/services/categories/package.json                         | JSON       |         68 |          0 |          1 |         69 |
| /home/undefined/Documents/pkl/apikom/services/categories/routes/category.route.ts             | TypeScript |         23 |          0 |          7 |         30 |
| /home/undefined/Documents/pkl/apikom/services/categories/seeders/20210307035835-categories.js | JavaScript |         26 |          0 |          3 |         29 |
| /home/undefined/Documents/pkl/apikom/services/categories/services/category.services.ts        | TypeScript |         42 |          0 |          6 |         48 |
| /home/undefined/Documents/pkl/apikom/services/categories/tests/category.controller.test.ts    | TypeScript |        212 |          0 |         24 |        236 |
| /home/undefined/Documents/pkl/apikom/services/categories/tsconfig.json                        | JSON       |         17 |         47 |          8 |         72 |
| /home/undefined/Documents/pkl/apikom/services/categories/validations/category.validation.ts   | TypeScript |         16 |          0 |          3 |         19 |
| /home/undefined/Documents/pkl/apikom/services/default.conf                                    | Properties |         27 |          0 |          1 |         28 |
| /home/undefined/Documents/pkl/apikom/services/docker-compose.yml                              | YAML       |         14 |          0 |          0 |         14 |
| /home/undefined/Documents/pkl/apikom/services/images/.dockerignore                            | Ignore     |          2 |          0 |          0 |          2 |
| /home/undefined/Documents/pkl/apikom/services/images/.eslintrc.js                             | JavaScript |         23 |          2 |          1 |         26 |
| /home/undefined/Documents/pkl/apikom/services/images/.prettierrc.js                           | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/images/Dockerfile                               | Docker     |         13 |          0 |          4 |         17 |
| /home/undefined/Documents/pkl/apikom/services/images/app.ts                                   | TypeScript |         39 |         10 |         11 |         60 |
| /home/undefined/Documents/pkl/apikom/services/images/babel.config.js                          | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/images/config/config.js                         | JavaScript |         29 |          0 |          3 |         32 |
| /home/undefined/Documents/pkl/apikom/services/images/config/sequelize.ts                      | TypeScript |         34 |          3 |          6 |         43 |
| /home/undefined/Documents/pkl/apikom/services/images/controllers/image.controller.ts          | TypeScript |         97 |          1 |         27 |        125 |
| /home/undefined/Documents/pkl/apikom/services/images/docker-compose.yml                       | YAML       |         24 |          0 |          1 |         25 |
| /home/undefined/Documents/pkl/apikom/services/images/docs/images-swagger.yaml                 | YAML       |        109 |          0 |          7 |        116 |
| /home/undefined/Documents/pkl/apikom/services/images/helpers/deleteImages.ts                  | TypeScript |          7 |          0 |          2 |          9 |
| /home/undefined/Documents/pkl/apikom/services/images/helpers/getPublicId.ts                   | TypeScript |         11 |          0 |          3 |         14 |
| /home/undefined/Documents/pkl/apikom/services/images/helpers/images.ts                        | TypeScript |         20 |          0 |          5 |         25 |
| /home/undefined/Documents/pkl/apikom/services/images/helpers/initCloudinary.ts                | TypeScript |         23 |          0 |          5 |         28 |
| /home/undefined/Documents/pkl/apikom/services/images/helpers/initDB.ts                        | TypeScript |         17 |          0 |          3 |         20 |
| /home/undefined/Documents/pkl/apikom/services/images/helpers/initMulter.ts                    | TypeScript |         18 |          0 |          8 |         26 |
| /home/undefined/Documents/pkl/apikom/services/images/index.ts                                 | TypeScript |          3 |          0 |          3 |          6 |
| /home/undefined/Documents/pkl/apikom/services/images/migrations/20210305015017-images.js      | JavaScript |         24 |          0 |          3 |         27 |
| /home/undefined/Documents/pkl/apikom/services/images/models/image.model.ts                    | TypeScript |         15 |          0 |          4 |         19 |
| /home/undefined/Documents/pkl/apikom/services/images/nodemon.json                             | JSON       |          3 |          0 |          1 |          4 |
| /home/undefined/Documents/pkl/apikom/services/images/package-lock.json                        | JSON       |     10,889 |          0 |          1 |     10,890 |
| /home/undefined/Documents/pkl/apikom/services/images/package.json                             | JSON       |         73 |          0 |          1 |         74 |
| /home/undefined/Documents/pkl/apikom/services/images/routes/image.route.ts                    | TypeScript |         13 |          0 |          6 |         19 |
| /home/undefined/Documents/pkl/apikom/services/images/services/image.services.ts               | TypeScript |         11 |          0 |          3 |         14 |
| /home/undefined/Documents/pkl/apikom/services/images/tests/image.controller.test.ts           | TypeScript |          0 |          0 |          1 |          1 |
| /home/undefined/Documents/pkl/apikom/services/images/tsconfig.json                            | JSON       |         17 |         47 |          8 |         72 |
| /home/undefined/Documents/pkl/apikom/services/products/.dockerignore                          | Ignore     |          2 |          0 |          0 |          2 |
| /home/undefined/Documents/pkl/apikom/services/products/.eslintrc.js                           | JavaScript |         23 |          2 |          1 |         26 |
| /home/undefined/Documents/pkl/apikom/services/products/.prettierrc.js                         | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/products/Dockerfile                             | Docker     |         13 |          0 |          4 |         17 |
| /home/undefined/Documents/pkl/apikom/services/products/app.ts                                 | TypeScript |         37 |         10 |         11 |         58 |
| /home/undefined/Documents/pkl/apikom/services/products/babel.config.js                        | JavaScript |          7 |          0 |          1 |          8 |
| /home/undefined/Documents/pkl/apikom/services/products/config/config.js                       | JavaScript |         29 |          0 |          3 |         32 |
| /home/undefined/Documents/pkl/apikom/services/products/config/sequelize.ts                    | TypeScript |         34 |          3 |          6 |         43 |
| /home/undefined/Documents/pkl/apikom/services/products/controllers/product.controller.ts      | TypeScript |        184 |          4 |         28 |        216 |
| /home/undefined/Documents/pkl/apikom/services/products/docker-compose.yml                     | YAML       |         24 |          0 |          1 |         25 |
| /home/undefined/Documents/pkl/apikom/services/products/docs/product-swagger.yaml              | YAML       |        153 |          0 |          7 |        160 |
| /home/undefined/Documents/pkl/apikom/services/products/helpers/getPagination.ts               | TypeScript |          5 |          0 |          2 |          7 |
| /home/undefined/Documents/pkl/apikom/services/products/helpers/getPaginationData.ts           | TypeScript |         11 |          0 |          4 |         15 |
| /home/undefined/Documents/pkl/apikom/services/products/helpers/getSort.ts                     | TypeScript |         14 |          0 |          1 |         15 |
| /home/undefined/Documents/pkl/apikom/services/products/helpers/initDB.ts                      | TypeScript |         17 |          0 |          3 |         20 |
| /home/undefined/Documents/pkl/apikom/services/products/helpers/logger.ts                      | TypeScript |         17 |          0 |          3 |         20 |
| /home/undefined/Documents/pkl/apikom/services/products/index.ts                               | TypeScript |          3 |          0 |          3 |          6 |
| /home/undefined/Documents/pkl/apikom/services/products/interfaces/Product.ts                  | TypeScript |          6 |          0 |          1 |          7 |
| /home/undefined/Documents/pkl/apikom/services/products/middlewares/isValid.ts                 | TypeScript |         16 |          0 |          2 |         18 |
| /home/undefined/Documents/pkl/apikom/services/products/migrations/20210304053455-products.js  | JavaScript |         45 |          0 |          3 |         48 |
| /home/undefined/Documents/pkl/apikom/services/products/models/product.model.ts                | TypeScript |         18 |          0 |          6 |         24 |
| /home/undefined/Documents/pkl/apikom/services/products/nodemon.json                           | JSON       |          3 |          0 |          1 |          4 |
| /home/undefined/Documents/pkl/apikom/services/products/package-lock.json                      | JSON       |     10,426 |          0 |          1 |     10,427 |
| /home/undefined/Documents/pkl/apikom/services/products/package.json                           | JSON       |         71 |          0 |          1 |         72 |
| /home/undefined/Documents/pkl/apikom/services/products/routes/product.route.ts                | TypeScript |         12 |          1 |         10 |         23 |
| /home/undefined/Documents/pkl/apikom/services/products/seeders/20210307044726-products.js     | JavaScript |         34 |          0 |          3 |         37 |
| /home/undefined/Documents/pkl/apikom/services/products/services/product.services.ts           | TypeScript |         39 |          0 |          8 |         47 |
| /home/undefined/Documents/pkl/apikom/services/products/test/product.controller.test.ts        | TypeScript |        866 |          0 |         48 |        914 |
| /home/undefined/Documents/pkl/apikom/services/products/tsconfig.json                          | JSON       |         17 |         47 |          8 |         72 |
| /home/undefined/Documents/pkl/apikom/services/products/validations/product.validation.ts      | TypeScript |         30 |          0 |          6 |         36 |
| Total                                                                                         |            |     47,194 |        266 |        550 |     48,010 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
